Postal,Name,medIncome
CO,Fremont County,40543
CO,Garfield County,60456
CO,Gilpin County,63024
CO,Grand County,55818
CO,Gunnison County,47698
CO,Hinsdale County,48195
CO,Huerfano County,31696
CO,Jackson County,43691
CO,Jefferson County,64181
CO,Kiowa County,37600
CO,Kit Carson County,39498
CO,Lake County,43565
CO,La Plata County,53029
CO,Larimer County,54739
CO,Las Animas County,37700
CO,Lincoln County,39230
CO,Logan County,40637
CO,Mesa County,47324
CO,Mineral County,45645
CO,Moffat County,55913
CO,Montezuma County,41074
CO,Montrose County,44002
CO,Morgan County,43209
CO,Otero County,34360
CO,Ouray County,54920
CO,Park County,66400
CO,Phillips County,44064
CO,Pitkin County,65568
CO,Prowers County,34488
CO,Pueblo County,39107
CO,Rio Blanco County,59308
CO,Rio Grande County,37300
CO,Routt County,60506
CO,Saguache County,30985
CO,San Juan County,37001
CO,San Miguel County,62368
CO,Sedgwick County,36749
CO,Summit County,60087
CO,Teller County,59966
CO,Washington County,40914
CO,Weld County,52334
CO,Yuma County,43361
CT,Connecticut,64321
CT,Fairfield County,74634
CT,Hartford County,60028
CT,Litchfield County,66076
CT,Middlesex County,70805
CT,New Haven County,57070
CT,New London County,61792
CT,Tolland County,74868
CT,Windham County,56564
DE,Delaware,56172
DE,Kent County,51490
DE,New Castle County,59877
DE,Sussex County,48582
DC,District of Columbia,60729
DC,District of Columbia,60729
FL,Florida,44390
FL,Alachua County,40656
FL,Baker County,45802
FL,Bay County,44364
FL,Bradford County,39454
FL,Brevard County,46331
FL,Broward County,47917
FL,Calhoun County,34054
FL,Charlotte County,41991
FL,Citrus County,36174
FL,Clay County,57913
FL,Collier County,53341
FL,Columbia County,34870
FL,DeSoto County,33966
FL,Dixie County,30967
FL,Duval County,46112
FL,Escambia County,41428
FL,Flagler County,45685
FL,Franklin County,34522
FL,Gadsden County,35704
FL,Gilchrist County,38517
FL,Glades County,39089
FL,Gulf County,39403
FL,Hamilton County,31820
FL,Hardee County,33732
FL,Hendry County,37220
FL,Hernando County,37867
FL,Highlands County,34469
FL,Hillsborough County,46043
FL,Holmes County,33696
FL,Indian River County,47525
FL,Jackson County,37351
FL,Jefferson County,39113
FL,Lafayette County,36001
FL,Lake County,42343
FL,Lee County,44377
FL,Leon County,42393
FL,Levy County,32197
FL,Liberty County,37815
FL,Madison County,31942
FL,Manatee County,44990
FL,Marion County,37162
FL,Martin County,49539
FL,Miami-Dade County,40145
FL,Monroe County,50388
FL,Nassau County,57605
FL,Okaloosa County,51173
FL,Okeechobee County,35417
FL,Orange County,45105
FL,Osceola County,42165
FL,Palm Beach County,49891
FL,Pasco County,42184
FL,Pinellas County,42628
FL,Polk County,41184
FL,Putnam County,33300
FL,St. Johns County,60841
FL,St. Lucie County,39378
FL,Santa Rosa County,51208
